wellid,RELATEID,PUMPTESTID,TEST_DATE,START_MEAS,FLOW_RATE,DURATION,PUMP_MEAS
14082,0000014082,1,19701000,40.0,15.0,,0.0
14084,0000014084,1,19701100,0.0,16.0,,0.0
126305,0000126305,1,19770301,25.0,30.0,3.0,35.0
171802,0000171802,1,19820513,15.0,30.0,5.0,25.0
195748,0000195748,1,19840309,180.0,40.0,3.0,200.0
200828,0000200828,1,19610800,103.0,408.0,,170.0
200828,0000200828,2,19610800,103.0,550.0,,189.0
200828,0000200828,3,19610800,103.0,805.0,,214.0
200830,0000200830,1,19650526,90.0,70.0,,90.0
209246,0000209246,1,19720911,12.0,20.0,,
413668,0000413668,1,19820513,15.0,30.0,5.0,25.0
509077,0000509077,1,19900216,160.0,750.0,33.0,185.0
509077,0000509077,2,19900216,160.0,1320.0,8.0,206.0
623759,0000623759,1,19990622,15.0,30.0,3.0,60.0
625657,0000625657,1,19990607,60.0,,1.0,235.0
632759,0000632759,1,19990622,15.0,30.0,3.0,60.0
