wellid,RELATEID,MEAS_TYPE,MEAS_DATE,MEAS_TIME,M_PT_CODE,MEAS_POINT,MEASUREMT,MEAS_ELEV,DATA_SRC,PROGRAM,ENTRY_DATE,UPDT_DATE
14082,0000014082,IN,19701020,,A,0.0,40.0,870.0,62136,CWI,19910814,20170620
105290,0000105290,IN,19770301,,A,0.0,15.0,861.0,27056,CWI,19910415,0
126305,0000126305,IN,19770301,,A,0.0,25.0,851.0,27056,CWI,19910415,0
171802,0000171802,IN,19820513,,A,0.0,15.0,895.0,62119,CWI,19910415,0
195748,0000195748,IN,19840309,,A,0.0,180.0,620.0,82054,CWI,19880915,0
200828,0000200828,IN,19610800,,A,0.0,103.0,706.0,62012,CWI,19880412,20180221
200828,0000200828,SE,20050819,,A,,91.0,718.0,62012,WELLLOG,20180221,
200830,0000200830,IN,19641223,,A,0.0,90.0,712.0,27015,CWI,19901019,20181227
209246,0000209246,IN,19720911,,A,0.0,12.0,849.0,02316,CWI,19910415,0
278795,0000278795,IN,19720911,,A,,12.0,,02316,WELLLOG,20180305,
413668,0000413668,IN,19820513,,A,0.0,15.0,895.0,62119,CWI,19910415,0
509077,0000509077,IN,19900216,,A,0.0,160.0,752.0,62012,CWI,19921229,20181228
623759,0000623759,IN,19990622,,,,15.0,,27695,WELLLOG,19990909,
625657,0000625657,IN,19990607,,A,,60.0,1155.0,09437,WELLLOG,20000315,
632759,0000632759,IN,19990622,,A,,15.0,893.0,27695,WELLLOG,19990921,20100209
